controller,peak_abs_x_m,rms_x_m,area_abs_x,peak_abs_u_n,scenario
lqr,0.1,0.01188272437627381,0.5171292860696247,9.753124511871285,nominal
lqr,0.1,0.01188272437627381,0.5171292860696247,9.753124511871285,higher-imbalance
lqr,0.1,0.011882651884777221,0.5171271174873163,9.753124511871256,low-damping
lqr,0.1,0.011866874700408815,0.5165996975871013,9.60799680255745,stiffer-feedback
