output,parameter,S1,ST
k_eff,u,0.4713608564532625,0.7019947576258737
k_eff,g_gain,0.1270911765891071,0.2961587476151614
k_eff,eps,0.0,0.0
k_eff,lam,0.17300235684980492,0.38079269797808635
period_s,u,0.8315988130415539,1.0012430282670788
period_s,g_gain,0.01897111492440068,0.17260846750283113
period_s,eps,0.0,0.0
period_s,lam,0.033641681050866956,0.21112244124405782
static_offset_m,u,5.4127086354446666e-18,2.018585018242321e-32
static_offset_m,g_gain,0.5119677627922826,0.7387940783878838
static_offset_m,eps,0.3041604278683724,0.5101102705470595
static_offset_m,lam,-1.3039060890701515e-18,3.1870250962377376e-32
packet_rate_hz,u,0.46239453608244674,0.5980338033267837
packet_rate_hz,g_gain,0.0,0.0
packet_rate_hz,eps,0.0,0.0
packet_rate_hz,lam,0.3959994187842259,0.5291382856995671
