controller,peak_abs_x_m,rms_x_m,area_abs_x,peak_abs_u_n
open,0.1,0.059680186951519665,12.756030956784382,0.0
p,0.1,0.060144877839705416,12.828021352725496,0.125
lqr,0.1,0.01188272437627381,0.5171292860696247,9.753124511871285
