controller,peak_abs_x_m,rms_x_m,area_abs_x,peak_abs_u_n
open,0.08,0.03778079639291927,7.843975320376249,0.0
p,0.08,0.037856658714547256,7.893052893798844,0.96
lqr,0.08,0.009293772848878331,0.41014017046465273,6.307174484596766
