controller,peak_abs_x_m,rms_x_m,area_abs_x,peak_abs_u_n,scenario
lqr,0.08,0.009293772848878331,0.41014017046465273,6.307174484596766,nominal
lqr,0.08,0.009293772848878331,0.41014017046465273,6.307174484596766,higher-imbalance
lqr,0.08,0.009293580274149161,0.41015092229910616,6.307174484596762,low-damping
lqr,0.08,0.009293772848878331,0.41014017046465273,6.307174484596766,stiffer-feedback
